Author,Text,Pro,Neutral,Cons
Crease,"CREASE, J. 1885. REGINA v. WING CHONG. 14th & 15th July, Certiorari—“Chinese Regulation Act, 1884,” s. 5—Constitutionality—B.N.A. Act, 1867, ss. 91, 92—“Aliens”—“Trade and Commerce”—Taxation. On the r",0.28637734055519104,0.5303415060043335,0.18328113853931427
Crease,", the police and sanitary regulation of a numerous foreign element, and the raising of revenue necessary to meet that regulation (Hodge v. The Queen, L. R. 9, App. Cas. 117). If incidentally trade and",0.06966912001371384,0.23963303864002228,0.6906978487968445
Crease,"'s Dwarris* 418, 421, 425; *Dow v. Black*, L. R. 6 P. C. 272, were cited as showing the power of taxation, unless abridged by the written constitution, might be exercised so as to discriminate. The Su",0.4654751121997833,0.28537407517433167,0.24915088713169098
Crease,"trade relations enjoyed by the merchants would be destroyed. Counsel cited statistics from the Chinese Commission showing the extreme importance, from a fiscal and commercial point of view, of the lar",0.6657281517982483,0.2695043683052063,0.06476745754480362
Crease,". McQuillan, 35 Am. Dec. 159. The imposition was in derogation of treaty rights with which Canada alone had the power to deal. The Australian legislation did not help the contention of the Attorney-Ge",0.3339538276195526,0.12345607578754425,0.5425901412963867
Crease,"the tax. Then as to inequality, the one dictum of Cooley was but an expression of opinion that political wisdom required uniform taxation; for the same author cited numerous authorities, including tha",0.03876355662941933,0.02756812609732151,0.933668315410614
Crease,"Province equally with Australia and the Dominion were autonomous within the bounds of their respective jurisdictions. 21st August, 1885—CREASE, J.— In order to deal satisfactorily with the questions r",0.22968970239162445,0.41106876730918884,0.3592414855957031
Crease,"that Act and in excess of its provisions, that moment, and to the extent of such transgression, it ceases to be law. Therefore, in dealing with this question, our constitutional Act must be kept in vi",0.22551541030406952,0.17156308889389038,0.6029214859008789
Crease,"must be, what is the object of the Act? On applying to the preamble, we find that it looks like a bill of indictment as against a race not suited to live among a civilized nation, and certainly does n",0.23749463260173798,0.2836892008781433,0.4788162112236023
Crease,"s reserved exclusively under the 81st section of the B. N. A. Act to the Dominion. That decision was never appealed from, and was at once acted on by the government as conclusive. The position and leg",0.09779548645019531,0.609098494052887,0.2931061089038849
